UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
I AM JOEL,@DJoelAdebayoLaw,2022-01-03T23:32:40.000Z,"I AM JOEL
@DJoelAdebayoLaw
·
4 Jan 2022","Replying to 
@nosafk
The question again is

DOES COCA-COLA BELONG TO YORUBA PEOPLE??

The question we should be asking is ...what were you doing wrong for you to be sent parking from 2 different organisations in different sectors 

Don't they know you're not yoruba b4 u were employed??
1",,1,,,[],https://twitter.com/DJoelAdebayoLaw/status/1478147326799749122
Ryan Daniel Tucker,@RyanDanielTuck1,2022-01-03T23:32:13.000Z,"Ryan Daniel Tucker
@RyanDanielTuck1
·
4 Jan 2022","Replying to 
@CapaCagna
 and 
@CarmellaWWE
I drink Coca Cola  
The Way a Alcoholic drink Alcohol 
And I Drink a lot of Coca Cola 
I drink Coca Cola until I Pass out of a Heart Attack
I guess God is Keeping me Alive for a Reason
GIF
ALT",🥤 🍷 🥤,,,,['https://pbs.twimg.com/tweet_video_thumb/FINvDdJWQAYTt-r.jpg'],https://twitter.com/RyanDanielTuck1/status/1478147217336713216
RLP #istandwithdrs #istandwithnurses,@rosie744,2022-01-03T23:31:34.000Z,"RLP #istandwithdrs #istandwithnurses
@rosie744
·
4 Jan 2022","Replying to 
@mshopeteach
Shake and bake chicken, garlic mashed potatoes with more cream cheese, peas  and a can of Coca Cola ! Admiring my Christmas tree with my grands gifts still under it! 
3",☮ 🌻 🥲,,,3,[],https://twitter.com/rosie744/status/1478147050571247619
The Wolf Queen Dragon Slayer,@The_Jaded_Lady_,2022-01-03T23:30:42.000Z,"The Wolf Queen Dragon Slayer
@The_Jaded_Lady_
·
4 Jan 2022","Sunkist, or Coca Cola

Good Times..",🐉 😊,,,,[],https://twitter.com/The_Jaded_Lady_/status/1478146834224889859
DNAradio.net,@DNAradionet,2022-01-03T23:30:36.000Z,"DNAradio.net
@DNAradionet
·
4 Jan 2022","#NowPlaying - Now Playing on ""http://DNAradio.net"" - on http://DNAradio.net - Coca-Cola ""No Sugar, No Caffeine"" (Commercial Ad) #Follow us on #TuneIn #Listen #HipHop #InternetRadio",,,,,[],https://twitter.com/DNAradionet/status/1478146810577395713
kKreekL,@kKreekL,2022-01-03T23:29:43.000Z,"kKreekL
@kKreekL
·
4 Jan 2022","Replying to 
@moraisyz
 @Ayye_Kaleb
  and 5 others
Well and thats good, without other cultures and country's we all would be the same, so i really dont get your point there :)
1",,,,1,[],https://twitter.com/kKreekL/status/1478146587780128768
Goudacris,@EucaDriptus,2022-01-03T23:26:42.000Z,"Goudacris
@EucaDriptus
·
4 Jan 2022","Replying to 
@kwahmi
Camus and Coca Cola but my condition is incurable",,,,,[],https://twitter.com/EucaDriptus/status/1478145828057403394
Tweeter_Headmaster,@nosafk,2022-01-03T23:25:30.000Z,"Tweeter_Headmaster
@nosafk
·
4 Jan 2022","Replying to 
@DJoelAdebayoLaw
Your quest doesn’t make sense. Sorry to say. I said I worked in Coca-Cola in Benin and when I worked there, if you were Yoruba you couldn’t stay there for long. I lasted not up to 3 months. And the same thing happened in one hotel I worked.
1",⚫ ⚪,1,,,[],https://twitter.com/nosafk/status/1478145527191642116
BSMARKER,@bs_marker,2022-01-03T23:25:10.000Z,"BSMARKER
@bs_marker
·
4 Jan 2022","Stock: $KO - The Coca-Cola Company
*** NEWS ***
POSAF Stock: My No. 1 Moonshot Pick for 2022 - InvestorPlace
https://investorplace.com/2022/01/posaf-stock-my-no-1-moonshot-pick-for-2022/…
Try now the Best Pivot Point Calculator!! https://bsmarker.com/view.php?symbol=KO…
#tradingview
#stocks
#stockstowatch",,,,,['https://pbs.twimg.com/media/FINtcekXEAIcrPa?format=png&name=small'],https://twitter.com/bs_marker/status/1478145440797319168
mingi's boob holder,@closedagainlol,2022-01-03T23:24:53.000Z,"mingi's boob holder
@closedagainlol
·
4 Jan 2022","how can ppl drink pepsi and say it tastes better than coca cola
3
1",,3,,1,[],https://twitter.com/closedagainlol/status/1478145370945474560
