Username,Tweet URL,Timestamp,Comments,Likes,Retweets,Quotes,emoji_sent,neg,neu,pos,compound,word_token
Toni_Snow_,https://twitter.com/Toni_Snow_/status/1477638385292525570,2022-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"never,superior,xbox"
KINGDEC21,https://twitter.com/KINGDEC21/status/1477547839337246721,2022-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"purplepoprockz,adinross,oh,poor,babi,report,yep,definit,child,like,thought,deuc,enjoy,new,year,back,homework,mayb,might,xbox,new,one,new,soon,purpl,pop,rock,fuck,believ,engag,clown"
RealCheyTor,https://twitter.com/RealCheyTor/status/1477517670740230148,2022-01-02,0,2,0,0,0.0,0.0,0.0,0.0,0.0,"much,fun,today,fiesta,bowl,oklahoma,state,cowboy,notr,dame,fight,irish,oklahoma,state,thriller,fiestabowl,oklahomast,cowboy,notredam,fightingirish,statefarmstadium,arizona,bowlseason,newyearssix"
TreyHunter87,https://twitter.com/TreyHunter87/status/1477512491609563139,2022-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"mike,gundi"
playarabbit,https://twitter.com/playarabbit/status/1477505378040614914,2022-01-02,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"get,retail,price,soni"
Jeramie,https://twitter.com/Jeramie/status/1477504682201260037,2022-01-02,0,34,3,0,0.401,0.0,0.0,0.0,0.0,"kick,incred,game,cowboyfb,ndfootbal,team,rememb,social,squad,fortun,enough,work,year,much,talent"
Markcam1002,https://twitter.com/Markcam1002/status/1477472348664213504,2022-01-02,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"thatpetra,farcri,bought,christma,money,plu,sale"
Fiesta_Bowl,https://twitter.com/Fiesta_Bowl/status/1477469330539368449,2022-01-02,2,87,13,2,0.49933333333333335,0.0,0.0,0.0,0.0,"way,kick,congratul,cowboyfb,winner,annual,fiestabowl"
KingBleu1,https://twitter.com/KingBleu1/status/1477469007183765504,2022-01-02,1,1,0,0,0.0,0.0,0.0,0.0,0.0,"xboxstockalert,yeah,care,anymor,nintendoamerica,switch,ole,christma,even,want,one"
andyjshultz,https://twitter.com/andyjshultz/status/1477468355963416578,2022-01-02,1,3,0,0,0.0,0.0,0.0,0.0,0.0,"congratul,annual,fiestabowl,champion,cowboyfb,bowlseason"
ManicMuDD1314,https://twitter.com/ManicMuDD1314/status/1477461863826866182,2022-01-02,5,14,0,0,0.0,0.0,0.0,0.0,0.0,"gtaonlinerdc,rid,glitcher,modder,hacker,ruin,game,grief,player,year,platform,pc,xbox,natur,game,player,weapon,vehicl,modif,vehicl,amp,cloth"
__brice,https://twitter.com/__brice/status/1477455996020744192,2022-01-02,3,0,0,0,0.0,0.0,0.0,0.0,0.0,"askplayst,need,help,refund,onlin,support,phone,unavail,someon,plea,help"
thatgeekjake,https://twitter.com/thatgeekjake/status/1477437372379721731,2022-01-02,1,15,2,0,0.0,0.0,0.0,0.0,0.0,"hey,sinc,cowboy,band,show"
Rango_D_Tango,https://twitter.com/Rango_D_Tango/status/1478151905616568320,2022-01-03,2,2,0,0,0.0,0.0,0.0,0.0,0.0,"xbox,appl,android,lol,xbox,give,freedom,give,want,im,glad,play,system,fanboy,side,annoy,long"
wrathsquader0,https://twitter.com/wrathsquader0/status/1478148603164209156,2022-01-03,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"trsrpc,ya,know,exactli,want,start,make,game,xbox,realli,hear,u,fanbas"
VoReason313,https://twitter.com/VoReason313/status/1478134239325532164,2022-01-03,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"act,like,deep,realli,want,play,path,neo"
DreamChildKoLo,https://twitter.com/DreamChildKoLo/status/1478132750360133633,2022-01-03,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"home,waaaay,ahead,time,og,meta"
CallMeThePilot,https://twitter.com/CallMeThePilot/status/1478094670114824192,2022-01-03,1,0,0,0,0.0,0.0,0.0,0.0,0.0,"sagebigavelli,even,play,lmao"
Fiesta_Bowl,https://twitter.com/Fiesta_Bowl/status/1478093647530790915,2022-01-03,2,25,5,0,0.0,0.0,0.0,0.0,0.0,"sight,amp,sound,outcom,fiestabowl,ndfootbal,want,fightingirish,gave,fan,lot,memor,moment,new,year,day"
Rob_larocco,https://twitter.com/Rob_larocco/status/1478057921208631299,2022-01-03,0,0,0,0,0.412,0.0,0.0,0.0,0.0,lol
YoungBurrell,https://twitter.com/YoungBurrell/status/1478023266015006725,2022-01-03,0,0,0,0,0.0,0.0,0.0,0.0,0.0,missjuicyfruitt
GameTyrant,https://twitter.com/GameTyrant/status/1478010919984812039,2022-01-03,0,31,2,2,0.0,0.0,0.0,0.0,0.0,"fobia,dinfna,hotel,first,impress,good,scare,limit,control,fobia,stdinfnahotel,firstimpress,freedemo,steam,pulsatrixstudio,xbox,pcgame"
SiempreElReyes,https://twitter.com/SiempreElReyes/status/1477916963544485888,2022-01-03,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"whatsuplizard,wish,work,could,play,mine,lol"
camstulo,https://twitter.com/camstulo/status/1477891789071736835,2022-01-03,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"spotifi,app,suck,xbox,cant,watch,video"
playarabbit,https://twitter.com/playarabbit/status/1477889045023895552,2022-01-03,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"playarabbit,youtub"
NookieNook92,https://twitter.com/NookieNook92/status/1477877314138611712,2022-01-03,1,1,0,0,0.2,0.0,0.0,0.0,0.0,"tbh,idek,wana,blame"
Urbvn_Ghxst,https://twitter.com/Urbvn_Ghxst/status/1477840691233443841,2022-01-03,0,0,0,0,-0.211,0.0,0.0,0.0,0.0,"sorri,babe,one,stay,nike,game,shoe"
Tankbro11,https://twitter.com/Tankbro11/status/1477840407224627204,2022-01-03,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"playstationca,found"
